task_id,model,model_full,condition,run_id,passed,cc,mi,loc,cognitive,tokens_in,tokens_out,latency_s,cost_usd
HumanEval/104,gpt4o,gpt-4o,minimal,2,True,4,84.55869545488217,2,0,178,36,1.557,0.000805
HumanEval/104,gpt4o,gpt-4o,minimal,3,True,3,79.00730119442971,5,0,178,48,1.983,0.000925
HumanEval/105,claude,claude-sonnet-5,baseline,1,True,4,76.28570514245513,7,0,404,138,4.159,0.002188
HumanEval/105,claude,claude-sonnet-5,baseline,2,True,4,74.02503690159936,9,0,404,149,3.425,0.002298
HumanEval/105,claude,claude-sonnet-5,baseline,3,True,4,76.28570514245513,7,0,404,138,4.032,0.002188
HumanEval/105,claude,claude-sonnet-5,minimal,1,True,4,74.02503690159936,7,0,486,145,3.33,0.002422
HumanEval/105,claude,claude-sonnet-5,minimal,2,True,4,75.48541176312074,6,0,486,134,3.704,0.002312
HumanEval/105,claude,claude-sonnet-5,minimal,3,True,4,74.02503690159936,7,0,486,145,3.572,0.002422
HumanEval/105,gpt4o,gpt-4o,baseline,1,True,4,77.21266861695821,7,0,304,110,2.387,0.00186
HumanEval/105,gpt4o,gpt-4o,baseline,2,True,4,75.32955592930222,5,0,304,79,1.828,0.00155
HumanEval/105,gpt4o,gpt-4o,baseline,3,True,4,75.48541176312074,8,0,304,110,2.004,0.00186
HumanEval/105,gpt4o,gpt-4o,minimal,1,True,4,77.21266861695821,7,0,353,110,2.473,0.001982
HumanEval/105,gpt4o,gpt-4o,minimal,2,True,4,77.44354746806843,4,0,353,79,2.812,0.001672
HumanEval/105,gpt4o,gpt-4o,minimal,3,True,4,77.44354746806843,4,0,353,79,2.409,0.001672
HumanEval/42,claude,claude-sonnet-5,baseline,1,True,2,71.9331936183837,8,0,168,144,2.421,0.001776
HumanEval/42,claude,claude-sonnet-5,baseline,2,True,2,71.9331936183837,8,0,168,144,2.289,0.001776
HumanEval/42,claude,claude-sonnet-5,baseline,3,True,2,71.9331936183837,8,0,168,144,2.476,0.001776
HumanEval/42,claude,claude-sonnet-5,minimal,1,True,2,71.9331936183837,8,0,250,144,3.419,0.00194
HumanEval/42,claude,claude-sonnet-5,minimal,2,True,2,71.9331936183837,8,0,250,144,4.137,0.00194
HumanEval/42,claude,claude-sonnet-5,minimal,3,True,2,71.9331936183837,8,0,250,144,2.773,0.00194
HumanEval/42,gpt4o,gpt-4o,baseline,1,True,2,71.9331936183837,8,0,137,119,2.152,0.001533
HumanEval/42,gpt4o,gpt-4o,baseline,2,True,2,71.9331936183837,8,0,137,119,4.419,0.001533
HumanEval/42,gpt4o,gpt-4o,baseline,3,True,2,71.9331936183837,8,0,137,119,2.897,0.001533
HumanEval/42,gpt4o,gpt-4o,minimal,1,True,2,88.42299174457497,2,0,186,23,2.4,0.000695
HumanEval/42,gpt4o,gpt-4o,minimal,2,True,2,88.42299174457497,2,0,186,23,1.752,0.000695
HumanEval/42,gpt4o,gpt-4o,minimal,3,True,2,88.42299174457497,2,0,186,23,1.715,0.000695
HumanEval/145,claude,claude-sonnet-5,baseline,1,True,1,93.35102225012565,20,3,189,367,5.185,0.004048
HumanEval/145,claude,claude-sonnet-5,baseline,2,True,1,70.50126731402183,8,2,189,138,2.604,0.001758
HumanEval/145,claude,claude-sonnet-5,baseline,3,True,1,92.38564710176307,20,3,189,301,4.721,0.003388
HumanEval/145,claude,claude-sonnet-5,minimal,1,True,1,71.5938102571756,10,2,271,162,3.32,0.002162
HumanEval/145,claude,claude-sonnet-5,minimal,2,True,1,92.38564710176307,20,3,271,298,3.79,0.003522
HumanEval/145,claude,claude-sonnet-5,minimal,3,True,1,92.38564710176307,20,3,271,299,5.056,0.003532
HumanEval/145,gpt4o,gpt-4o,baseline,1,False,2,100.0,2,0,143,35,1.9,0.000708
HumanEval/145,gpt4o,gpt-4o,baseline,2,False,2,100.0,2,0,143,35,1.944,0.000708
HumanEval/145,gpt4o,gpt-4o,baseline,3,False,1,100.0,5,0,143,48,2.186,0.000838
HumanEval/145,gpt4o,gpt-4o,minimal,1,False,2,100.0,2,0,192,35,1.549,0.00083
HumanEval/145,gpt4o,gpt-4o,minimal,2,False,2,100.0,2,0,192,35,1.632,0.00083
HumanEval/145,gpt4o,gpt-4o,minimal,3,False,2,100.0,2,0,192,35,1.638,0.00083
HumanEval/130,claude,claude-sonnet-5,baseline,1,True,4,60.62300630380994,11,5,364,161,3.222,0.002338
HumanEval/130,claude,claude-sonnet-5,baseline,2,False,6,81.06898488425296,32,10,364,520,5.808,0.005928
HumanEval/130,claude,claude-sonnet-5,baseline,3,True,4,59.84480178889601,15,5,364,288,5.141,0.003608
HumanEval/130,claude,claude-sonnet-5,minimal,1,True,5,59.46792758033193,12,6,446,213,3.711,0.003022
HumanEval/130,claude,claude-sonnet-5,minimal,2,True,4,62.165222848905806,10,5,446,190,3.786,0.002792
HumanEval/130,claude,claude-sonnet-5,minimal,3,True,5,59.51404137374082,12,6,446,212,3.816,0.003012
HumanEval/130,gpt4o,gpt-4o,baseline,1,False,2,61.83543332446848,12,10,262,102,2.282,0.001675
HumanEval/130,gpt4o,gpt-4o,baseline,2,False,2,61.83543332446848,12,10,262,102,2.475,0.001675
HumanEval/130,gpt4o,gpt-4o,baseline,3,False,2,64.00112012378598,10,8,262,90,1.935,0.001555
HumanEval/130,gpt4o,gpt-4o,minimal,1,False,3,63.866617199809376,8,4,311,86,2.31,0.001638
HumanEval/130,gpt4o,gpt-4o,minimal,2,False,3,63.866617199809376,8,4,311,86,2.387,0.001638
HumanEval/130,gpt4o,gpt-4o,minimal,3,False,4,62.73396202223232,10,5,311,93,2.225,0.001708
HumanEval/88,claude,claude-sonnet-5,baseline,1,True,3,80.26986825832907,21,2,287,304,3.918,0.003614
HumanEval/88,claude,claude-sonnet-5,baseline,2,True,3,80.26986825832907,21,2,287,304,3.225,0.003614
HumanEval/88,claude,claude-sonnet-5,baseline,3,True,3,80.26986825832907,21,2,287,304,3.511,0.003614
HumanEval/88,claude,claude-sonnet-5,minimal,1,True,3,80.26986825832907,21,3,369,310,3.832,0.003838
HumanEval/88,claude,claude-sonnet-5,minimal,2,True,3,75.51330470117287,20,2,369,306,4.023,0.003798
HumanEval/88,claude,claude-sonnet-5,minimal,3,True,3,80.26986825832907,21,2,369,313,3.982,0.003868
HumanEval/88,gpt4o,gpt-4o,baseline,1,True,3,69.38278966011059,7,3,230,52,2.086,0.001095
HumanEval/88,gpt4o,gpt-4o,baseline,2,True,3,69.38278966011059,7,3,230,52,2.122,0.001095
HumanEval/88,gpt4o,gpt-4o,baseline,3,True,3,69.38278966011059,7,3,230,52,1.386,0.001095
HumanEval/88,gpt4o,gpt-4o,minimal,1,True,3,69.38278966011059,7,3,279,52,1.447,0.001217
HumanEval/88,gpt4o,gpt-4o,minimal,2,True,3,69.38278966011059,7,3,279,52,2.076,0.001217
HumanEval/88,gpt4o,gpt-4o,minimal,3,True,3,69.38278966011059,7,3,279,52,1.648,0.001217
HumanEval/11,claude,claude-sonnet-5,baseline,1,True,3,94.87411876956551,10,1,141,133,3.179,0.001612
HumanEval/11,claude,claude-sonnet-5,baseline,2,True,3,94.87411876956551,10,1,141,142,3.34,0.001702
HumanEval/11,claude,claude-sonnet-5,baseline,3,True,3,94.87411876956551,10,1,141,133,3.504,0.001612
HumanEval/11,claude,claude-sonnet-5,minimal,1,True,3,94.87411876956551,10,1,223,133,2.489,0.001776
HumanEval/11,claude,claude-sonnet-5,minimal,2,True,3,94.87411876956551,10,1,223,133,2.894,0.001776
HumanEval/11,claude,claude-sonnet-5,minimal,3,True,3,94.87411876956551,10,1,223,133,3.223,0.001776
HumanEval/11,gpt4o,gpt-4o,baseline,1,True,3,94.87411876956551,9,1,106,101,604.131,0.001275
HumanEval/11,gpt4o,gpt-4o,baseline,2,True,3,94.87411876956551,9,1,106,101,2.707,0.001275
HumanEval/11,gpt4o,gpt-4o,baseline,3,True,3,94.87411876956551,9,1,106,101,2.233,0.001275
HumanEval/11,gpt4o,gpt-4o,minimal,1,True,3,88.28848882059837,2,1,155,44,1.996,0.000827
HumanEval/11,gpt4o,gpt-4o,minimal,2,True,3,88.28848882059837,2,1,155,44,1.547,0.000827
HumanEval/11,gpt4o,gpt-4o,minimal,3,True,3,88.28848882059837,2,1,155,44,2.234,0.000827
HumanEval/137,claude,claude-sonnet-5,baseline,1,True,3,94.13587836464609,22,5,224,286,3.797,0.003308
HumanEval/137,claude,claude-sonnet-5,baseline,2,True,3,94.13587836464609,22,5,224,299,3.465,0.003438
HumanEval/137,claude,claude-sonnet-5,baseline,3,True,3,94.13587836464609,22,5,224,275,3.228,0.003198
HumanEval/137,claude,claude-sonnet-5,minimal,1,True,3,71.22423816857055,11,5,306,124,2.867,0.001852
HumanEval/137,claude,claude-sonnet-5,minimal,2,True,5,94.57415289580412,21,5,306,291,3.779,0.003522
HumanEval/137,claude,claude-sonnet-5,minimal,3,True,5,94.57415289580412,21,5,306,287,3.442,0.003482
HumanEval/137,gpt4o,gpt-4o,baseline,1,True,3,68.44781010438932,15,6,169,87,2.003,0.001293
HumanEval/137,gpt4o,gpt-4o,baseline,2,True,3,68.44781010438932,15,6,169,87,1.982,0.001293
HumanEval/137,gpt4o,gpt-4o,baseline,3,True,3,68.44781010438932,15,6,169,87,1.808,0.001293
HumanEval/137,gpt4o,gpt-4o,minimal,1,True,3,68.44781010438932,15,6,218,84,2.405,0.001385
HumanEval/137,gpt4o,gpt-4o,minimal,2,True,3,68.44781010438932,15,6,218,86,2.28,0.001405
HumanEval/137,gpt4o,gpt-4o,minimal,3,True,3,68.44781010438932,15,6,218,84,2.218,0.001385
HumanEval/66,claude,claude-sonnet-5,baseline,1,True,3,100.0,14,0,190,174,3.466,0.00212
HumanEval/66,claude,claude-sonnet-5,baseline,2,True,3,100.0,14,0,190,174,3.613,0.00212
HumanEval/66,claude,claude-sonnet-5,baseline,3,True,3,100.0,14,0,190,174,3.112,0.00212
HumanEval/66,claude,claude-sonnet-5,minimal,1,True,3,100.0,2,0,272,37,2.236,0.000914
HumanEval/66,claude,claude-sonnet-5,minimal,2,True,3,100.0,2,0,272,37,2.582,0.000914
HumanEval/66,claude,claude-sonnet-5,minimal,3,True,3,100.0,2,0,272,37,2.297,0.000914
HumanEval/66,gpt4o,gpt-4o,baseline,1,True,3,100.0,2,0,139,24,1.673,0.000588
HumanEval/66,gpt4o,gpt-4o,baseline,2,True,3,100.0,2,0,139,24,1.699,0.000588
HumanEval/66,gpt4o,gpt-4o,baseline,3,True,3,100.0,2,0,139,24,1.572,0.000588
HumanEval/66,gpt4o,gpt-4o,minimal,1,True,3,100.0,2,0,188,24,2.219,0.00071
HumanEval/66,gpt4o,gpt-4o,minimal,2,True,3,100.0,2,0,188,24,1.697,0.00071
HumanEval/66,gpt4o,gpt-4o,minimal,3,True,3,100.0,2,0,188,24,1.746,0.00071
HumanEval/30,claude,claude-sonnet-5,baseline,1,True,3,71.7986906944071,8,0,174,159,3.893,0.001938
HumanEval/30,claude,claude-sonnet-5,baseline,2,True,3,71.7986906944071,8,0,174,151,3.689,0.001858
HumanEval/30,claude,claude-sonnet-5,baseline,3,True,3,71.7986906944071,8,0,174,159,3.6,0.001938
HumanEval/30,claude,claude-sonnet-5,minimal,1,True,3,71.7986906944071,8,0,256,151,2.981,0.002022
HumanEval/30,claude,claude-sonnet-5,minimal,2,True,3,71.7986906944071,8,0,256,151,3.196,0.002022
HumanEval/30,claude,claude-sonnet-5,minimal,3,True,3,71.7986906944071,8,0,256,151,3.321,0.002022
HumanEval/30,gpt4o,gpt-4o,baseline,1,True,3,71.7986906944071,8,0,141,125,2.278,0.001603
HumanEval/30,gpt4o,gpt-4o,baseline,2,True,3,71.7986906944071,8,0,141,125,2.396,0.001603
HumanEval/30,gpt4o,gpt-4o,baseline,3,True,3,71.7986906944071,8,0,141,125,2.325,0.001603
HumanEval/30,gpt4o,gpt-4o,minimal,1,True,3,88.28848882059837,2,0,190,25,1.709,0.000725
HumanEval/30,gpt4o,gpt-4o,minimal,2,True,3,88.28848882059837,2,0,190,25,1.75,0.000725
HumanEval/30,gpt4o,gpt-4o,minimal,3,True,3,88.28848882059837,2,0,190,25,2.09,0.000725
HumanEval/124,claude,claude-sonnet-5,baseline,1,False,17,79.29466109610327,50,16,348,545,4.961,0.006146
HumanEval/124,claude,claude-sonnet-5,baseline,2,False,18,77.9979753651053,53,17,348,579,4.972,0.006486
HumanEval/124,claude,claude-sonnet-5,baseline,3,False,17,79.29466109610327,50,16,348,545,4.794,0.006146
HumanEval/124,claude,claude-sonnet-5,minimal,1,False,15,80.7480036957141,46,15,430,531,5.233,0.00617
HumanEval/124,claude,claude-sonnet-5,minimal,2,False,15,52.230479444214865,20,14,430,253,3.842,0.00339
HumanEval/124,claude,claude-sonnet-5,minimal,3,False,15,80.7480036957141,46,15,430,537,5.205,0.00623
HumanEval/124,gpt4o,gpt-4o,baseline,1,True,12,53.21187922782819,26,10,291,182,2.493,0.002548
HumanEval/124,gpt4o,gpt-4o,baseline,2,True,17,51.47303666778299,26,16,291,189,2.599,0.002618
HumanEval/124,gpt4o,gpt-4o,baseline,3,True,18,50.30343304924189,29,17,291,200,2.864,0.002727
HumanEval/124,gpt4o,gpt-4o,minimal,1,True,20,50.02159728238961,21,17,340,222,2.536,0.00307
HumanEval/124,gpt4o,gpt-4o,minimal,2,True,14,52.007630003293976,21,11,340,207,3.263,0.00292
HumanEval/124,gpt4o,gpt-4o,minimal,3,True,14,52.007630003293976,29,11,340,213,2.604,0.00298
HumanEval/154,claude,claude-sonnet-5,baseline,1,False,3,71.55988337877561,7,3,208,71,2.695,0.001126
HumanEval/154,claude,claude-sonnet-5,baseline,2,False,3,93.82097443058129,16,3,208,221,3.325,0.002626
HumanEval/154,claude,claude-sonnet-5,baseline,3,False,3,93.82097443058129,16,3,208,221,2.951,0.002626
HumanEval/154,claude,claude-sonnet-5,minimal,1,False,3,93.82097443058129,16,3,290,221,3.011,0.00279
HumanEval/154,claude,claude-sonnet-5,minimal,2,False,3,71.55988337877561,7,3,290,71,1.936,0.00129
HumanEval/154,claude,claude-sonnet-5,minimal,3,False,3,93.82097443058129,16,3,290,221,4.412,0.00279
HumanEval/154,gpt4o,gpt-4o,baseline,1,False,3,72.82491762469213,6,3,155,47,1.733,0.000857
HumanEval/154,gpt4o,gpt-4o,baseline,2,False,3,71.55988337877561,7,3,155,52,1.736,0.000907
HumanEval/154,gpt4o,gpt-4o,baseline,3,False,3,71.55988337877561,7,3,155,52,1.508,0.000907
HumanEval/154,gpt4o,gpt-4o,minimal,1,False,2,80.9864529102317,2,0,204,32,1.85,0.00083
HumanEval/154,gpt4o,gpt-4o,minimal,2,False,2,80.9864529102317,2,0,204,32,1.545,0.00083
HumanEval/154,gpt4o,gpt-4o,minimal,3,False,2,80.9864529102317,2,0,204,32,1.541,0.00083
HumanEval/18,claude,claude-sonnet-5,baseline,1,True,4,91.69395133871795,16,4,163,193,2.887,0.002256
HumanEval/18,claude,claude-sonnet-5,baseline,2,True,4,91.69395133871795,16,4,163,193,2.82,0.002256
HumanEval/18,claude,claude-sonnet-5,baseline,3,True,4,91.69395133871795,16,4,163,193,2.885,0.002256
HumanEval/18,claude,claude-sonnet-5,minimal,1,True,3,88.95278440078593,14,3,245,181,3.353,0.0023
HumanEval/18,claude,claude-sonnet-5,minimal,2,True,3,88.95278440078593,14,3,245,181,3.929,0.0023
HumanEval/18,claude,claude-sonnet-5,minimal,3,True,3,88.95278440078593,14,3,245,181,3.301,0.0023
HumanEval/18,gpt4o,gpt-4o,baseline,1,True,3,94.47539918211534,17,3,116,133,2.521,0.00162
HumanEval/18,gpt4o,gpt-4o,baseline,2,True,3,94.47539918211534,17,3,116,133,3.046,0.00162
HumanEval/18,gpt4o,gpt-4o,baseline,3,True,3,94.47539918211534,17,3,116,133,2.354,0.00162
HumanEval/18,gpt4o,gpt-4o,minimal,1,True,3,67.3516981712943,10,3,165,71,1.742,0.001123
HumanEval/18,gpt4o,gpt-4o,minimal,2,True,3,67.3516981712943,10,3,165,71,1.852,0.001123
HumanEval/18,gpt4o,gpt-4o,minimal,3,True,3,67.3516981712943,10,3,165,71,1.731,0.001123
HumanEval/127,claude,claude-sonnet-5,baseline,1,True,5,79.76764709510671,36,5,379,662,6.073,0.007378
HumanEval/127,claude,claude-sonnet-5,baseline,2,False,5,61.9063752501764,15,5,379,144,2.505,0.002198
HumanEval/127,claude,claude-sonnet-5,baseline,3,False,5,61.9063752501764,15,5,379,168,2.725,0.002438
HumanEval/127,claude,claude-sonnet-5,minimal,1,True,5,62.31243562540887,12,5,461,140,3.005,0.002322
HumanEval/127,claude,claude-sonnet-5,minimal,2,True,5,62.31243562540887,12,5,461,153,2.85,0.002452
HumanEval/127,claude,claude-sonnet-5,minimal,3,False,5,61.9063752501764,16,5,461,166,2.972,0.002582
HumanEval/127,gpt4o,gpt-4o,baseline,1,True,3,73.7841563172935,34,24,281,232,3.348,0.003023
HumanEval/127,gpt4o,gpt-4o,baseline,2,True,3,52.2302893586522,30,24,281,197,2.287,0.002672
HumanEval/127,gpt4o,gpt-4o,baseline,3,True,3,52.2302893586522,30,24,281,197,2.87,0.002672
HumanEval/127,gpt4o,gpt-4o,minimal,1,True,3,59.353315625588074,20,14,330,146,2.643,0.002285
HumanEval/127,gpt4o,gpt-4o,minimal,2,True,3,53.441342351903735,27,23,330,192,2.752,0.002745
HumanEval/127,gpt4o,gpt-4o,minimal,3,True,3,59.353315625588074,20,14,330,146,2.064,0.002285
HumanEval/121,claude,claude-sonnet-5,baseline,1,True,4,64.28801763794502,10,1,164,166,3.214,0.001988
HumanEval/121,claude,claude-sonnet-5,baseline,2,True,4,64.28801763794502,10,1,164,166,2.831,0.001988
HumanEval/121,claude,claude-sonnet-5,baseline,3,True,4,64.28801763794502,10,1,164,166,2.63,0.001988
HumanEval/121,claude,claude-sonnet-5,minimal,1,True,4,64.28801763794502,10,1,246,166,2.698,0.002152
HumanEval/121,claude,claude-sonnet-5,minimal,2,True,4,80.77781576413629,2,1,246,54,2.795,0.001032
HumanEval/121,claude,claude-sonnet-5,minimal,3,True,4,64.28801763794502,10,1,246,166,2.51,0.002152
HumanEval/121,gpt4o,gpt-4o,baseline,1,True,3,80.85194998625511,3,0,125,63,1.797,0.000942
HumanEval/121,gpt4o,gpt-4o,baseline,2,True,3,68.20340025266749,10,0,125,125,1.929,0.001563
HumanEval/121,gpt4o,gpt-4o,baseline,3,True,3,68.20340025266749,10,0,125,125,5.692,0.001563
HumanEval/121,gpt4o,gpt-4o,minimal,1,True,3,84.69319837885878,2,0,174,38,1.44,0.000815
HumanEval/121,gpt4o,gpt-4o,minimal,2,True,3,84.69319837885878,2,0,174,38,1.555,0.000815
HumanEval/121,gpt4o,gpt-4o,minimal,3,True,3,84.69319837885878,2,0,174,38,1.869,0.000815
HumanEval/0,claude,claude-sonnet-5,baseline,1,True,3,94.33160788446588,16,3,198,239,3.874,0.002786
HumanEval/0,claude,claude-sonnet-5,baseline,2,True,3,94.33160788446588,16,3,198,239,3.682,0.002786
HumanEval/0,claude,claude-sonnet-5,baseline,3,True,3,94.33160788446588,16,3,198,239,6.455,0.002786
HumanEval/0,claude,claude-sonnet-5,minimal,1,True,5,93.83087468551247,16,7,280,225,2.927,0.00281
HumanEval/0,claude,claude-sonnet-5,minimal,2,True,4,95.21435727015015,16,6,280,226,2.57,0.00282
HumanEval/0,claude,claude-sonnet-5,minimal,3,True,5,93.83087468551247,16,7,280,225,2.85,0.00281
HumanEval/0,gpt4o,gpt-4o,baseline,1,True,3,94.33160788446588,15,3,153,163,2.123,0.002012
HumanEval/0,gpt4o,gpt-4o,baseline,2,True,3,71.41470533175081,6,3,153,61,2.128,0.000992
HumanEval/0,gpt4o,gpt-4o,baseline,3,True,3,71.41470533175081,6,3,153,61,2.489,0.000992
HumanEval/0,gpt4o,gpt-4o,minimal,1,True,3,69.95433047022944,8,3,202,65,1.978,0.001155
HumanEval/0,gpt4o,gpt-4o,minimal,2,True,3,69.95433047022944,8,3,202,65,1.587,0.001155
HumanEval/0,gpt4o,gpt-4o,minimal,3,True,3,69.95433047022944,8,3,202,65,1.898,0.001155
HumanEval/17,claude,claude-sonnet-5,baseline,1,True,2,100.0,19,0,256,275,3.853,0.003262
HumanEval/17,claude,claude-sonnet-5,baseline,2,True,2,100.0,19,0,256,275,3.946,0.003262
HumanEval/17,claude,claude-sonnet-5,baseline,3,True,2,100.0,19,0,256,275,4.274,0.003262
HumanEval/17,claude,claude-sonnet-5,minimal,1,True,2,100.0,18,0,338,266,3.958,0.003336
HumanEval/17,claude,claude-sonnet-5,minimal,2,True,2,100.0,18,0,338,266,4.17,0.003336
HumanEval/17,claude,claude-sonnet-5,minimal,3,True,2,100.0,18,0,338,266,3.772,0.003336
HumanEval/17,gpt4o,gpt-4o,baseline,1,True,5,66.54296801670199,13,5,198,83,2.005,0.001325
HumanEval/17,gpt4o,gpt-4o,baseline,2,True,2,100.0,8,0,198,66,1.757,0.001155
HumanEval/17,gpt4o,gpt-4o,baseline,3,True,4,59.4292336819109,13,5,198,133,3.56,0.001825
HumanEval/17,gpt4o,gpt-4o,minimal,1,True,2,100.0,6,0,247,65,2.039,0.001267
HumanEval/17,gpt4o,gpt-4o,minimal,2,True,4,81.49764113723919,4,3,247,51,1.583,0.001128
HumanEval/17,gpt4o,gpt-4o,minimal,3,True,2,100.0,6,0,247,65,1.597,0.001267
HumanEval/52,claude,claude-sonnet-5,baseline,1,True,2,71.9331936183837,8,0,141,116,4.034,0.001442
HumanEval/52,claude,claude-sonnet-5,baseline,2,True,2,71.9331936183837,8,0,141,116,3.238,0.001442
HumanEval/52,claude,claude-sonnet-5,baseline,3,True,2,71.9331936183837,8,0,141,116,2.932,0.001442
HumanEval/52,claude,claude-sonnet-5,minimal,1,True,3,100.0,11,3,223,126,2.288,0.001706
HumanEval/52,claude,claude-sonnet-5,minimal,2,True,3,100.0,11,3,223,126,2.2,0.001706
HumanEval/52,claude,claude-sonnet-5,minimal,3,True,3,100.0,11,3,223,126,2.438,0.001706
HumanEval/52,gpt4o,gpt-4o,baseline,1,True,2,71.9331936183837,8,0,107,88,2.04,0.001147
HumanEval/52,gpt4o,gpt-4o,baseline,2,True,2,71.9331936183837,8,0,107,88,2.317,0.001147
HumanEval/52,gpt4o,gpt-4o,baseline,3,True,2,71.9331936183837,8,0,107,88,2.481,0.001147
HumanEval/52,gpt4o,gpt-4o,minimal,1,True,2,88.42299174457497,2,0,156,26,2.183,0.00065
HumanEval/52,gpt4o,gpt-4o,minimal,2,True,2,88.42299174457497,2,0,156,26,2.144,0.00065
HumanEval/52,gpt4o,gpt-4o,minimal,3,True,2,88.42299174457497,2,0,156,26,1.62,0.00065
HumanEval/123,claude,claude-sonnet-5,baseline,1,True,5,63.70525388614926,10,4,350,123,2.751,0.00193
HumanEval/123,claude,claude-sonnet-5,baseline,2,True,5,63.70525388614926,10,4,350,125,2.889,0.00195
HumanEval/123,claude,claude-sonnet-5,baseline,3,True,5,63.70525388614926,10,4,350,125,2.338,0.00195
HumanEval/123,claude,claude-sonnet-5,minimal,1,True,5,63.70525388614926,10,4,432,124,2.339,0.002104
HumanEval/123,claude,claude-sonnet-5,minimal,2,True,5,64.70340613974972,9,4,432,117,2.26,0.002034
HumanEval/123,claude,claude-sonnet-5,minimal,3,True,5,63.70525388614926,10,4,432,124,2.425,0.002104
HumanEval/123,gpt4o,gpt-4o,baseline,1,True,4,63.01529603110534,11,6,261,87,2.649,0.001522
HumanEval/123,gpt4o,gpt-4o,baseline,2,True,4,63.01529603110534,11,6,261,87,2.031,0.001522
HumanEval/123,gpt4o,gpt-4o,baseline,3,True,4,63.01529603110534,11,6,261,87,2.347,0.001522
HumanEval/123,gpt4o,gpt-4o,minimal,1,True,4,66.1188412276389,8,5,310,79,2.049,0.001565
HumanEval/123,gpt4o,gpt-4o,minimal,2,True,4,66.1188412276389,8,5,310,79,2.247,0.001565
HumanEval/123,gpt4o,gpt-4o,minimal,3,True,4,66.1188412276389,8,5,310,79,2.073,0.001565
HumanEval/38,claude,claude-sonnet-5,baseline,1,True,8,83.42586135497801,18,2,265,321,3.294,0.00374
HumanEval/38,claude,claude-sonnet-5,baseline,2,True,8,83.42586135497801,18,2,265,321,3.533,0.00374
HumanEval/38,claude,claude-sonnet-5,baseline,3,True,8,83.42586135497801,18,2,265,348,3.84,0.00401
HumanEval/38,claude,claude-sonnet-5,minimal,1,True,8,83.42586135497801,18,2,347,321,3.449,0.003904
HumanEval/38,claude,claude-sonnet-5,minimal,2,True,8,83.42586135497801,18,2,347,321,3.636,0.003904
HumanEval/38,claude,claude-sonnet-5,minimal,3,True,8,83.42586135497801,18,2,347,321,3.528,0.003904
HumanEval/38,gpt4o,gpt-4o,baseline,1,True,8,79.26033056324485,20,2,187,260,2.89,0.003067
HumanEval/38,gpt4o,gpt-4o,baseline,2,True,8,79.26033056324485,20,2,187,260,3.11,0.003067
HumanEval/38,gpt4o,gpt-4o,baseline,3,True,8,79.26033056324485,20,2,187,260,3.616,0.003067
HumanEval/38,gpt4o,gpt-4o,minimal,1,True,4,68.55502039697015,4,1,236,84,2.296,0.00143
